name,slug,id,category,energy,fat,satFat,carbs,sugar,protein,salt,description,actualPrice,loyaltyPrice,unitOfMeasure,conversionMeasure,conversionValue,constraintCode
"Ekologiškas jogurtas DOBILAS, 125 g",Ekologiskas-jogurtas-DOBILAS-125-g,dMq8H63SK1517rNsRQNh,Natural yogurt,71,3.9,2.5,4.8,4.8,4.3,0.1,Ekologiškas jogurtas. LT-EKO-001,1.09,,VNT,KG,0.125,fresh
"Gazuotas gaivusis gėrimas SCHWEPPES Pink, 1.5 l. ",Gaivusis-toniko-gerimas-SCHWEPPES-RUSSCHIAN-15-l,SoNjKG2Tzln8yGTP5Cgz,Schweppes,19,0,0,4.4,4.4,0,0,Gėrimas Schweppes Russchian Tonic - geriausiai žinomas kaip kokteilio džinas su toniku sudėtinė dalis. Tonic yra puikus troškulio malšintojas. Šią savybę jam suteikia Tonic'o sudėtyje esantys chininas.,2.49,,VNT,L,1.5,
"Varškės spurga, 70 g",Varskes-spurga-70-g,rOx6cvvYZJHLE4bjzNbL,"Muffins, donuts",387,20,13,26,23,3.1,0.13,Varškės spurga,0.69,,VNT,KG,0.07,
"Traškučiai su grietine ir svogūnais ESTRELLA, 130 g",Traskuciai-su-grietine-ir-svogunais-ESTRELLA-130-g,so04XelZaCxVgeczvCPe,Chips,537,35,3.2,49,3.2,5.8,1.6,Traškučiai su grietine ir svogūnais.,2.35,,VNT,KG,0.13,
"Glaistytas varškės sūrelis VILKYŠKIŲ LESS SUGAR su sūria karemele 30% rieb., 40 g",Glaistytas-varskes-surelis-VILKYSKIU-LESS-SUGAR-su-suria-karemele-30percent-rieb-40-g,qPqBhEprGcKYLaPbDEB6,Curd cheeses,367,29.9,20.7,17.7,15.4,6.7,0.46,Išraiškingoji sūri karamelė - VILKYŠKIŲ LESS SUGAR sūrelyje. Cukrų jame – net 40% mažiau*. Mažiau cukraus – mažiau nuodėmės! *lyginant su panašių sūrelių cukrų vidurkiu Lietuvoje.,0.75,,VNT,KG,0.04,fresh
"Šviesusis alus CORONA EXTRA (4,5%), 355 ml BUT",Sviesusis-alus-CORONA-EXTRA-45percent-355-ml,LPxP49rYkBEqfX6Rc40T,Light beer,42,NaN,NaN,NaN,NaN,NaN,NaN,"Gaivus, lengvo skonio, švelnaus apynių aromato Lager stiliaus alus CORONA EXTRA. Tradiciškai gardinamas žaliosios citrinos griežinėliu.",1.55,,VNT,L,0.355,alcohol
"Gazuotas gėrimas COCA COLA ZERO, 2 l",Gazuotas-gerimas-COCA-COLA-ZERO-2-l,jqm8cD67US3NJoAs8qNL,Coca Cola,0,0,0,0,0,0,0.02,"„Coke Zero“ buvo didžiausias „Coca-Cola“ produkto pristatymas per 22 metus ir įvyko 2005 m., o 2007 m. pardavimai siekė milijardus dolerių. „Coca-Cola Zero“ siūlo puikų kolos skonį, puikų atsigaivinimą ir be jokio cukraus.",2.65,,VNT,L,2,
"Tarkuotas sūris ROKIŠKIO MOZZARELLA 43% rieb. s.m., 200 g",Tarkuotas-suris-ROKISKIO-MOZZARELLA-43percent-rieb-sm-200-g,WzfnsIz6AeIiNJpIG5cD,Mozzarella cheeses,321,23.5,16.5,2,1,24.5,1,Tarkuotas sūris ROKIŠKIO MOZZARELLA 43% rieb. s.m.,3.19,,VNT,KG,0.2,fresh
"Saulėgrąžų aliejus NATURA, 1 l",Saulegrazu-aliejus-NATURA-1-l,Q71z9qFfc60MG4ae4Q2t,Sunflower oil,828,92,9.4,0,0,0,0,Pirmo šaltojo spaudimo rafinuotas saulėgrąžų aliejus NATURA.,3.99,,VNT,L,1,
"Tortilijos SANTA MARIA TEX MEX, 320 g",Tortilijos-SANTA-MARIA-TEX-MEX-320-g,SwabXjKpz3WFWksuHilc,Tortillas,297,5,1,53,1.5,8.5,1.4,"Tortilijos „Santa Maria Tex Mex“. Tai plona meksikietiška kvietinė duona, tinkama patiekti su sūriais ir saldžiais patiekalais. Taip pat galima naudoti ruošiant šaltus užkandžius ir įvairius desertus, picos papločius ar lazanijos sluoksnius.",2.99,,VNT,KG,0.32,
